[PAYEMS | 1/127 | month_open] 2016-01 as of 2016-01-01
[UNRATE | 113/127 | month_open] 2025-05 as of 2025-05-01
[UNRATE | 113/127 | after_week_1] 2025-05 as of 2025-05-07
[UNRATE | 113/127 | after_week_2] 2025-05 as of 2025-05-14
[UNRATE | 113/127 | month_end] 2025-05 as of 2025-05-31
[UNRATE | 113/127 | pre_employment_report] 2025-05 as of 2025-06-05
[UNRATE | 114/127 | month_open] 2025-06 as of 2025-06-01
[UNRATE | 114/127 | after_week_1] 2025-06 as of 2025-06-07
[UNRATE | 114/127 | after_week_2] 2025-06 as of 2025-06-14
[UNRATE | 114/127 | month_end] 2025-06 as of 2025-06-30
[UNRATE | 114/127 | pre_employment_report] 2025-06 as of 2025-07-02
[UNRATE | 115/127 | month_open] 2025-07 as of 2025-07-01
[UNRATE | 115/127 | after_week_1] 2025-07 as of 2025-07-07
[UNRATE | 115/127 | after_week_2] 2025-07 as of 2025-07-14
[UNRATE | 115/127 | month_end] 2025-07 as of 2025-07-31
[UNRATE | 115/127 | pre_employment_report] 2025-07 as of 2025-07-31
[UNRATE | 116/127 | month_open] 2025-08 as of 2025-08-01
[UNRATE | 116/127 | after_week_1] 2025-08 as of 2025-08-07
[UNRATE | 116/127 | after_week_2] 2025-08 as of 2025-08-14
[UNRATE | 116/127 | month_end] 2025-08 as of 2025-08-31
[UNRATE | 116/127 | pre_employment_report] 2025-08 as of 2025-09-04
[UNRATE | 117/127 | month_open] 2025-09 as of 2025-09-01
[UNRATE | 117/127 | after_week_1] 2025-09 as of 2025-09-07
[UNRATE | 117/127 | after_week_2] 2025-09 as of 2025-09-14
[UNRATE | 117/127 | month_end] 2025-09 as of 2025-09-30
[UNRATE | 117/127 | pre_employment_report] 2025-09 as of 2025-11-19
[UNRATE | 119/127 | month_open] 2025-11 as of 2025-11-01
[UNRATE | 119/127 | after_week_1] 2025-11 as of 2025-11-07
[UNRATE | 119/127 | after_week_2] 2025-11 as of 2025-11-14
[UNRATE | 119/127 | month_end] 2025-11 as of 2025-11-30
[UNRATE | 119/127 | pre_employment_report] 2025-11 as of 2025-12-15
[UNRATE | 120/127 | month_open] 2025-12 as of 2025-12-01
[UNRATE | 120/127 | after_week_1] 2025-12 as of 2025-12-07
[UNRATE | 120/127 | after_week_2] 2025-12 as of 2025-12-14
[UNRATE | 120/127 | month_end] 2025-12 as of 2025-12-31
[UNRATE | 120/127 | pre_employment_report] 2025-12 as of 2026-01-08
[UNRATE | 121/127 | month_open] 2026-01 as of 2026-01-01
[UNRATE | 121/127 | after_week_1] 2026-01 as of 2026-01-07
[UNRATE | 121/127 | after_week_2] 2026-01 as of 2026-01-14
[UNRATE | 121/127 | month_end] 2026-01 as of 2026-01-31
[UNRATE | 121/127 | pre_employment_report] 2026-01 as of 2026-02-10
[UNRATE | 122/127 | month_open] 2026-02 as of 2026-02-01
[UNRATE | 122/127 | after_week_1] 2026-02 as of 2026-02-07
[UNRATE | 122/127 | after_week_2] 2026-02 as of 2026-02-14
[UNRATE | 122/127 | month_end] 2026-02 as of 2026-02-28
[UNRATE | 122/127 | pre_employment_report] 2026-02 as of 2026-03-05
[UNRATE | 123/127 | month_open] 2026-03 as of 2026-03-01
[UNRATE | 123/127 | after_week_1] 2026-03 as of 2026-03-07
[UNRATE | 123/127 | after_week_2] 2026-03 as of 2026-03-14
[UNRATE | 123/127 | month_end] 2026-03 as of 2026-03-31
[UNRATE | 123/127 | pre_employment_report] 2026-03 as of 2026-04-02
[UNRATE | 124/127 | month_open] 2026-04 as of 2026-04-01
[UNRATE | 124/127 | after_week_1] 2026-04 as of 2026-04-07
[UNRATE | 124/127 | after_week_2] 2026-04 as of 2026-04-14
[UNRATE | 124/127 | month_end] 2026-04 as of 2026-04-30
[UNRATE | 124/127 | pre_employment_report] 2026-04 as of 2026-05-07
[UNRATE | 125/127 | month_open] 2026-05 as of 2026-05-01
[UNRATE | 125/127 | after_week_1] 2026-05 as of 2026-05-07
[UNRATE | 125/127 | after_week_2] 2026-05 as of 2026-05-14
[UNRATE | 125/127 | month_end] 2026-05 as of 2026-05-31
[UNRATE | 125/127 | pre_employment_report] 2026-05 as of 2026-06-04
[UNRATE | 126/127 | month_open] 2026-06 as of 2026-06-01
[UNRATE | 126/127 | after_week_1] 2026-06 as of 2026-06-07
[UNRATE | 126/127 | after_week_2] 2026-06 as of 2026-06-14
[UNRATE | 126/127 | month_end] 2026-06 as of 2026-06-30
[UNRATE | 126/127 | pre_employment_report] 2026-06 as of 2026-07-01
[CES0500000003 | 1/127 | month_open] 2016-01 as of 2016-01-01
[CES0500000003 | 1/127 | after_week_1] 2016-01 as of 2016-01-07
[CES0500000003 | 1/127 | after_week_2] 2016-01 as of 2016-01-14
[CES0500000003 | 1/127 | month_end] 2016-01 as of 2016-01-31
[CES0500000003 | 1/127 | pre_employment_report] 2016-01 as of 2016-02-04
[CES0500000003 | 2/127 | month_open] 2016-02 as of 2016-02-01
[CES0500000003 | 2/127 | after_week_1] 2016-02 as of 2016-02-07
[CES0500000003 | 2/127 | after_week_2] 2016-02 as of 2016-02-14
[CES0500000003 | 2/127 | month_end] 2016-02 as of 2016-02-29
[CES0500000003 | 2/127 | pre_employment_report] 2016-02 as of 2016-03-03
[CES0500000003 | 3/127 | month_open] 2016-03 as of 2016-03-01
[CES0500000003 | 3/127 | after_week_1] 2016-03 as of 2016-03-07
[CES0500000003 | 3/127 | after_week_2] 2016-03 as of 2016-03-14
[CES0500000003 | 3/127 | month_end] 2016-03 as of 2016-03-31
[CES0500000003 | 3/127 | pre_employment_report] 2016-03 as of 2016-03-31
[CES0500000003 | 4/127 | month_open] 2016-04 as of 2016-04-01
[CES0500000003 | 4/127 | after_week_1] 2016-04 as of 2016-04-07
[CES0500000003 | 4/127 | after_week_2] 2016-04 as of 2016-04-14
[CES0500000003 | 4/127 | month_end] 2016-04 as of 2016-04-30
[CES0500000003 | 4/127 | pre_employment_report] 2016-04 as of 2016-05-05
[CES0500000003 | 5/127 | month_open] 2016-05 as of 2016-05-01
[CES0500000003 | 5/127 | after_week_1] 2016-05 as of 2016-05-07
[CES0500000003 | 5/127 | after_week_2] 2016-05 as of 2016-05-14
[CES0500000003 | 5/127 | month_end] 2016-05 as of 2016-05-31
[CES0500000003 | 5/127 | pre_employment_report] 2016-05 as of 2016-06-02
[CES0500000003 | 6/127 | month_open] 2016-06 as of 2016-06-01
[CES0500000003 | 6/127 | after_week_1] 2016-06 as of 2016-06-07
[CES0500000003 | 6/127 | after_week_2] 2016-06 as of 2016-06-14
[CES0500000003 | 6/127 | month_end] 2016-06 as of 2016-06-30
[CES0500000003 | 6/127 | pre_employment_report] 2016-06 as of 2016-07-07
[CES0500000003 | 7/127 | month_open] 2016-07 as of 2016-07-01
[CES0500000003 | 7/127 | after_week_1] 2016-07 as of 2016-07-07
[CES0500000003 | 7/127 | after_week_2] 2016-07 as of 2016-07-14
[CES0500000003 | 7/127 | month_end] 2016-07 as of 2016-07-31
[CES0500000003 | 7/127 | pre_employment_report] 2016-07 as of 2016-08-04
[CES0500000003 | 8/127 | month_open] 2016-08 as of 2016-08-01
[CES0500000003 | 8/127 | after_week_1] 2016-08 as of 2016-08-07
[CES0500000003 | 8/127 | after_week_2] 2016-08 as of 2016-08-14
[CES0500000003 | 8/127 | month_end] 2016-08 as of 2016-08-31
[CES0500000003 | 8/127 | pre_employment_report] 2016-08 as of 2016-09-01
[CES0500000003 | 9/127 | month_open] 2016-09 as of 2016-09-01
[CES0500000003 | 9/127 | after_week_1] 2016-09 as of 2016-09-07
[CES0500000003 | 9/127 | after_week_2] 2016-09 as of 2016-09-14
[CES0500000003 | 9/127 | month_end] 2016-09 as of 2016-09-30
[CES0500000003 | 9/127 | pre_employment_report] 2016-09 as of 2016-10-06
[CES0500000003 | 10/127 | month_open] 2016-10 as of 2016-10-01
[CES0500000003 | 10/127 | after_week_1] 2016-10 as of 2016-10-07
[CES0500000003 | 10/127 | after_week_2] 2016-10 as of 2016-10-14
[CES0500000003 | 10/127 | month_end] 2016-10 as of 2016-10-31
[CES0500000003 | 10/127 | pre_employment_report] 2016-10 as of 2016-11-03
[CES0500000003 | 11/127 | month_open] 2016-11 as of 2016-11-01
[CES0500000003 | 11/127 | after_week_1] 2016-11 as of 2016-11-07
[CES0500000003 | 11/127 | after_week_2] 2016-11 as of 2016-11-14
[CES0500000003 | 11/127 | month_end] 2016-11 as of 2016-11-30
[CES0500000003 | 11/127 | pre_employment_report] 2016-11 as of 2016-12-01
[CES0500000003 | 12/127 | month_open] 2016-12 as of 2016-12-01
[CES0500000003 | 12/127 | after_week_1] 2016-12 as of 2016-12-07
[CES0500000003 | 12/127 | after_week_2] 2016-12 as of 2016-12-14
[CES0500000003 | 12/127 | month_end] 2016-12 as of 2016-12-31
[CES0500000003 | 12/127 | pre_employment_report] 2016-12 as of 2017-01-05
[CES0500000003 | 13/127 | month_open] 2017-01 as of 2017-01-01
[CES0500000003 | 13/127 | after_week_1] 2017-01 as of 2017-01-07
[CES0500000003 | 13/127 | after_week_2] 2017-01 as of 2017-01-14
[CES0500000003 | 13/127 | month_end] 2017-01 as of 2017-01-31
[CES0500000003 | 13/127 | pre_employment_report] 2017-01 as of 2017-02-02
[CES0500000003 | 14/127 | month_open] 2017-02 as of 2017-02-01
[CES0500000003 | 14/127 | after_week_1] 2017-02 as of 2017-02-07
[CES0500000003 | 14/127 | after_week_2] 2017-02 as of 2017-02-14
[CES0500000003 | 14/127 | month_end] 2017-02 as of 2017-02-28
[CES0500000003 | 14/127 | pre_employment_report] 2017-02 as of 2017-03-09
[CES0500000003 | 15/127 | month_open] 2017-03 as of 2017-03-01
[CES0500000003 | 15/127 | after_week_1] 2017-03 as of 2017-03-07
[CES0500000003 | 15/127 | after_week_2] 2017-03 as of 2017-03-14
[CES0500000003 | 15/127 | month_end] 2017-03 as of 2017-03-31
[CES0500000003 | 15/127 | pre_employment_report] 2017-03 as of 2017-04-06
[CES0500000003 | 16/127 | month_open] 2017-04 as of 2017-04-01
[CES0500000003 | 16/127 | after_week_1] 2017-04 as of 2017-04-07
[CES0500000003 | 16/127 | after_week_2] 2017-04 as of 2017-04-14
[CES0500000003 | 16/127 | month_end] 2017-04 as of 2017-04-30
[CES0500000003 | 16/127 | pre_employment_report] 2017-04 as of 2017-05-04
[CES0500000003 | 17/127 | month_open] 2017-05 as of 2017-05-01
[CES0500000003 | 17/127 | after_week_1] 2017-05 as of 2017-05-07
[CES0500000003 | 17/127 | after_week_2] 2017-05 as of 2017-05-14
[CES0500000003 | 17/127 | month_end] 2017-05 as of 2017-05-31
[CES0500000003 | 17/127 | pre_employment_report] 2017-05 as of 2017-06-01
[CES0500000003 | 18/127 | month_open] 2017-06 as of 2017-06-01
[CES0500000003 | 18/127 | after_week_1] 2017-06 as of 2017-06-07
[CES0500000003 | 18/127 | after_week_2] 2017-06 as of 2017-06-14
[CES0500000003 | 18/127 | month_end] 2017-06 as of 2017-06-30
[CES0500000003 | 18/127 | pre_employment_report] 2017-06 as of 2017-07-06
[CES0500000003 | 19/127 | month_open] 2017-07 as of 2017-07-01
[CES0500000003 | 19/127 | after_week_1] 2017-07 as of 2017-07-07
[CES0500000003 | 19/127 | after_week_2] 2017-07 as of 2017-07-14
[CES0500000003 | 19/127 | month_end] 2017-07 as of 2017-07-31
[CES0500000003 | 19/127 | pre_employment_report] 2017-07 as of 2017-08-03
[CES0500000003 | 20/127 | month_open] 2017-08 as of 2017-08-01
[CES0500000003 | 20/127 | after_week_1] 2017-08 as of 2017-08-07
[CES0500000003 | 20/127 | after_week_2] 2017-08 as of 2017-08-14
[CES0500000003 | 20/127 | month_end] 2017-08 as of 2017-08-31
[CES0500000003 | 20/127 | pre_employment_report] 2017-08 as of 2017-08-31
[CES0500000003 | 21/127 | month_open] 2017-09 as of 2017-09-01
[CES0500000003 | 21/127 | after_week_1] 2017-09 as of 2017-09-07
[CES0500000003 | 21/127 | after_week_2] 2017-09 as of 2017-09-14
[CES0500000003 | 21/127 | month_end] 2017-09 as of 2017-09-30
[CES0500000003 | 21/127 | pre_employment_report] 2017-09 as of 2017-10-05
[CES0500000003 | 22/127 | month_open] 2017-10 as of 2017-10-01
[CES0500000003 | 22/127 | after_week_1] 2017-10 as of 2017-10-07
[CES0500000003 | 22/127 | after_week_2] 2017-10 as of 2017-10-14
[CES0500000003 | 22/127 | month_end] 2017-10 as of 2017-10-31
[CES0500000003 | 22/127 | pre_employment_report] 2017-10 as of 2017-11-02
[CES0500000003 | 23/127 | month_open] 2017-11 as of 2017-11-01
[CES0500000003 | 23/127 | after_week_1] 2017-11 as of 2017-11-07
[CES0500000003 | 23/127 | after_week_2] 2017-11 as of 2017-11-14
[CES0500000003 | 23/127 | month_end] 2017-11 as of 2017-11-30
[CES0500000003 | 23/127 | pre_employment_report] 2017-11 as of 2017-12-07
[CES0500000003 | 24/127 | month_open] 2017-12 as of 2017-12-01
[CES0500000003 | 24/127 | after_week_1] 2017-12 as of 2017-12-07
[CES0500000003 | 24/127 | after_week_2] 2017-12 as of 2017-12-14
[CES0500000003 | 24/127 | month_end] 2017-12 as of 2017-12-31
[CES0500000003 | 24/127 | pre_employment_report] 2017-12 as of 2018-01-04
[CES0500000003 | 25/127 | month_open] 2018-01 as of 2018-01-01
[CES0500000003 | 25/127 | after_week_1] 2018-01 as of 2018-01-07
[CES0500000003 | 25/127 | after_week_2] 2018-01 as of 2018-01-14
[CES0500000003 | 25/127 | month_end] 2018-01 as of 2018-01-31
[CES0500000003 | 25/127 | pre_employment_report] 2018-01 as of 2018-02-01
[CES0500000003 | 26/127 | month_open] 2018-02 as of 2018-02-01
[CES0500000003 | 26/127 | after_week_1] 2018-02 as of 2018-02-07
[CES0500000003 | 26/127 | after_week_2] 2018-02 as of 2018-02-14
[CES0500000003 | 26/127 | month_end] 2018-02 as of 2018-02-28
[CES0500000003 | 26/127 | pre_employment_report] 2018-02 as of 2018-03-08
[CES0500000003 | 27/127 | month_open] 2018-03 as of 2018-03-01
[CES0500000003 | 27/127 | after_week_1] 2018-03 as of 2018-03-07
[CES0500000003 | 27/127 | after_week_2] 2018-03 as of 2018-03-14
[CES0500000003 | 27/127 | month_end] 2018-03 as of 2018-03-31
[CES0500000003 | 27/127 | pre_employment_report] 2018-03 as of 2018-04-05
[CES0500000003 | 28/127 | month_open] 2018-04 as of 2018-04-01
[CES0500000003 | 28/127 | after_week_1] 2018-04 as of 2018-04-07
[CES0500000003 | 28/127 | after_week_2] 2018-04 as of 2018-04-14
[CES0500000003 | 28/127 | month_end] 2018-04 as of 2018-04-30
[CES0500000003 | 28/127 | pre_employment_report] 2018-04 as of 2018-05-03
[CES0500000003 | 29/127 | month_open] 2018-05 as of 2018-05-01
[CES0500000003 | 29/127 | after_week_1] 2018-05 as of 2018-05-07
[CES0500000003 | 29/127 | after_week_2] 2018-05 as of 2018-05-14
[CES0500000003 | 29/127 | month_end] 2018-05 as of 2018-05-31
[CES0500000003 | 29/127 | pre_employment_report] 2018-05 as of 2018-05-31
[CES0500000003 | 30/127 | month_open] 2018-06 as of 2018-06-01
[CES0500000003 | 30/127 | after_week_1] 2018-06 as of 2018-06-07
[CES0500000003 | 30/127 | after_week_2] 2018-06 as of 2018-06-14
[CES0500000003 | 30/127 | month_end] 2018-06 as of 2018-06-30
[CES0500000003 | 30/127 | pre_employment_report] 2018-06 as of 2018-07-05
[CES0500000003 | 31/127 | month_open] 2018-07 as of 2018-07-01
[CES0500000003 | 31/127 | after_week_1] 2018-07 as of 2018-07-07
[CES0500000003 | 31/127 | after_week_2] 2018-07 as of 2018-07-14
[CES0500000003 | 31/127 | month_end] 2018-07 as of 2018-07-31
[CES0500000003 | 31/127 | pre_employment_report] 2018-07 as of 2018-08-02
[CES0500000003 | 32/127 | month_open] 2018-08 as of 2018-08-01
[CES0500000003 | 32/127 | after_week_1] 2018-08 as of 2018-08-07
[CES0500000003 | 32/127 | after_week_2] 2018-08 as of 2018-08-14
[CES0500000003 | 32/127 | month_end] 2018-08 as of 2018-08-31
[CES0500000003 | 32/127 | pre_employment_report] 2018-08 as of 2018-09-06
[CES0500000003 | 33/127 | month_open] 2018-09 as of 2018-09-01
[CES0500000003 | 33/127 | after_week_1] 2018-09 as of 2018-09-07
[CES0500000003 | 33/127 | after_week_2] 2018-09 as of 2018-09-14
[CES0500000003 | 33/127 | month_end] 2018-09 as of 2018-09-30
[CES0500000003 | 33/127 | pre_employment_report] 2018-09 as of 2018-10-04
[CES0500000003 | 34/127 | month_open] 2018-10 as of 2018-10-01
[CES0500000003 | 34/127 | after_week_1] 2018-10 as of 2018-10-07
[CES0500000003 | 34/127 | after_week_2] 2018-10 as of 2018-10-14
[CES0500000003 | 34/127 | month_end] 2018-10 as of 2018-10-31
[CES0500000003 | 34/127 | pre_employment_report] 2018-10 as of 2018-11-01
[CES0500000003 | 35/127 | month_open] 2018-11 as of 2018-11-01
[CES0500000003 | 35/127 | after_week_1] 2018-11 as of 2018-11-07
[CES0500000003 | 35/127 | after_week_2] 2018-11 as of 2018-11-14
[CES0500000003 | 35/127 | month_end] 2018-11 as of 2018-11-30
[CES0500000003 | 35/127 | pre_employment_report] 2018-11 as of 2018-12-06
[CES0500000003 | 36/127 | month_open] 2018-12 as of 2018-12-01
[CES0500000003 | 36/127 | after_week_1] 2018-12 as of 2018-12-07
[CES0500000003 | 36/127 | after_week_2] 2018-12 as of 2018-12-14
[CES0500000003 | 36/127 | month_end] 2018-12 as of 2018-12-31
[CES0500000003 | 36/127 | pre_employment_report] 2018-12 as of 2019-01-03
[CES0500000003 | 37/127 | month_open] 2019-01 as of 2019-01-01
[CES0500000003 | 37/127 | after_week_1] 2019-01 as of 2019-01-07
[CES0500000003 | 37/127 | after_week_2] 2019-01 as of 2019-01-14
[CES0500000003 | 37/127 | month_end] 2019-01 as of 2019-01-31
[CES0500000003 | 37/127 | pre_employment_report] 2019-01 as of 2019-01-31
[CES0500000003 | 38/127 | month_open] 2019-02 as of 2019-02-01
[CES0500000003 | 38/127 | after_week_1] 2019-02 as of 2019-02-07
[CES0500000003 | 38/127 | after_week_2] 2019-02 as of 2019-02-14
[CES0500000003 | 38/127 | month_end] 2019-02 as of 2019-02-28
[CES0500000003 | 38/127 | pre_employment_report] 2019-02 as of 2019-03-07
[CES0500000003 | 39/127 | month_open] 2019-03 as of 2019-03-01
[CES0500000003 | 39/127 | after_week_1] 2019-03 as of 2019-03-07
[CES0500000003 | 39/127 | after_week_2] 2019-03 as of 2019-03-14
[CES0500000003 | 39/127 | month_end] 2019-03 as of 2019-03-31
[CES0500000003 | 39/127 | pre_employment_report] 2019-03 as of 2019-04-04
[CES0500000003 | 40/127 | month_open] 2019-04 as of 2019-04-01
[CES0500000003 | 40/127 | after_week_1] 2019-04 as of 2019-04-07
[CES0500000003 | 40/127 | after_week_2] 2019-04 as of 2019-04-14
[CES0500000003 | 40/127 | month_end] 2019-04 as of 2019-04-30
[CES0500000003 | 40/127 | pre_employment_report] 2019-04 as of 2019-05-02
[CES0500000003 | 41/127 | month_open] 2019-05 as of 2019-05-01
[CES0500000003 | 41/127 | after_week_1] 2019-05 as of 2019-05-07
[CES0500000003 | 41/127 | after_week_2] 2019-05 as of 2019-05-14
[CES0500000003 | 41/127 | month_end] 2019-05 as of 2019-05-31
[CES0500000003 | 41/127 | pre_employment_report] 2019-05 as of 2019-06-06
[CES0500000003 | 42/127 | month_open] 2019-06 as of 2019-06-01
[CES0500000003 | 42/127 | after_week_1] 2019-06 as of 2019-06-07
[CES0500000003 | 42/127 | after_week_2] 2019-06 as of 2019-06-14
[CES0500000003 | 42/127 | month_end] 2019-06 as of 2019-06-30
[CES0500000003 | 42/127 | pre_employment_report] 2019-06 as of 2019-07-04
[CES0500000003 | 43/127 | month_open] 2019-07 as of 2019-07-01
[CES0500000003 | 43/127 | after_week_1] 2019-07 as of 2019-07-07
[CES0500000003 | 43/127 | after_week_2] 2019-07 as of 2019-07-14
[CES0500000003 | 43/127 | month_end] 2019-07 as of 2019-07-31
[CES0500000003 | 43/127 | pre_employment_report] 2019-07 as of 2019-08-01
[CES0500000003 | 44/127 | month_open] 2019-08 as of 2019-08-01
[CES0500000003 | 44/127 | after_week_1] 2019-08 as of 2019-08-07
[CES0500000003 | 44/127 | after_week_2] 2019-08 as of 2019-08-14
[CES0500000003 | 44/127 | month_end] 2019-08 as of 2019-08-31
[CES0500000003 | 44/127 | pre_employment_report] 2019-08 as of 2019-09-05
[CES0500000003 | 45/127 | month_open] 2019-09 as of 2019-09-01
[CES0500000003 | 45/127 | after_week_1] 2019-09 as of 2019-09-07
[CES0500000003 | 45/127 | after_week_2] 2019-09 as of 2019-09-14
[CES0500000003 | 45/127 | month_end] 2019-09 as of 2019-09-30
[CES0500000003 | 45/127 | pre_employment_report] 2019-09 as of 2019-10-03
[CES0500000003 | 46/127 | month_open] 2019-10 as of 2019-10-01
[CES0500000003 | 46/127 | after_week_1] 2019-10 as of 2019-10-07
[CES0500000003 | 46/127 | after_week_2] 2019-10 as of 2019-10-14
[CES0500000003 | 46/127 | month_end] 2019-10 as of 2019-10-31
[CES0500000003 | 46/127 | pre_employment_report] 2019-10 as of 2019-10-31
[CES0500000003 | 47/127 | month_open] 2019-11 as of 2019-11-01
[CES0500000003 | 47/127 | after_week_1] 2019-11 as of 2019-11-07
[CES0500000003 | 47/127 | after_week_2] 2019-11 as of 2019-11-14
[CES0500000003 | 47/127 | month_end] 2019-11 as of 2019-11-30
[CES0500000003 | 47/127 | pre_employment_report] 2019-11 as of 2019-12-05
[CES0500000003 | 48/127 | month_open] 2019-12 as of 2019-12-01
[CES0500000003 | 48/127 | after_week_1] 2019-12 as of 2019-12-07
[CES0500000003 | 48/127 | after_week_2] 2019-12 as of 2019-12-14
[CES0500000003 | 48/127 | month_end] 2019-12 as of 2019-12-31
[CES0500000003 | 48/127 | pre_employment_report] 2019-12 as of 2020-01-09
[CES0500000003 | 49/127 | month_open] 2020-01 as of 2020-01-01
[CES0500000003 | 49/127 | after_week_1] 2020-01 as of 2020-01-07
[CES0500000003 | 49/127 | after_week_2] 2020-01 as of 2020-01-14
[CES0500000003 | 49/127 | month_end] 2020-01 as of 2020-01-31
[CES0500000003 | 49/127 | pre_employment_report] 2020-01 as of 2020-02-06
[CES0500000003 | 50/127 | month_open] 2020-02 as of 2020-02-01
[CES0500000003 | 50/127 | after_week_1] 2020-02 as of 2020-02-07
[CES0500000003 | 50/127 | after_week_2] 2020-02 as of 2020-02-14
[CES0500000003 | 50/127 | month_end] 2020-02 as of 2020-02-29
[CES0500000003 | 50/127 | pre_employment_report] 2020-02 as of 2020-03-05
[CES0500000003 | 51/127 | month_open] 2020-03 as of 2020-03-01
[CES0500000003 | 51/127 | after_week_1] 2020-03 as of 2020-03-07
[CES0500000003 | 51/127 | after_week_2] 2020-03 as of 2020-03-14
[CES0500000003 | 51/127 | month_end] 2020-03 as of 2020-03-31
[CES0500000003 | 51/127 | pre_employment_report] 2020-03 as of 2020-04-02
[CES0500000003 | 52/127 | month_open] 2020-04 as of 2020-04-01
[CES0500000003 | 52/127 | after_week_1] 2020-04 as of 2020-04-07
[CES0500000003 | 52/127 | after_week_2] 2020-04 as of 2020-04-14
[CES0500000003 | 52/127 | month_end] 2020-04 as of 2020-04-30
[CES0500000003 | 52/127 | pre_employment_report] 2020-04 as of 2020-05-07
[CES0500000003 | 53/127 | month_open] 2020-05 as of 2020-05-01
[CES0500000003 | 53/127 | after_week_1] 2020-05 as of 2020-05-07
[CES0500000003 | 53/127 | after_week_2] 2020-05 as of 2020-05-14
[CES0500000003 | 53/127 | month_end] 2020-05 as of 2020-05-31
[CES0500000003 | 53/127 | pre_employment_report] 2020-05 as of 2020-06-04
[CES0500000003 | 54/127 | month_open] 2020-06 as of 2020-06-01
[CES0500000003 | 54/127 | after_week_1] 2020-06 as of 2020-06-07
[CES0500000003 | 54/127 | after_week_2] 2020-06 as of 2020-06-14
[CES0500000003 | 54/127 | month_end] 2020-06 as of 2020-06-30
[CES0500000003 | 54/127 | pre_employment_report] 2020-06 as of 2020-07-01
[CES0500000003 | 55/127 | month_open] 2020-07 as of 2020-07-01
[CES0500000003 | 55/127 | after_week_1] 2020-07 as of 2020-07-07
[CES0500000003 | 55/127 | after_week_2] 2020-07 as of 2020-07-14
[CES0500000003 | 55/127 | month_end] 2020-07 as of 2020-07-31
[CES0500000003 | 55/127 | pre_employment_report] 2020-07 as of 2020-08-06
[CES0500000003 | 56/127 | month_open] 2020-08 as of 2020-08-01
[CES0500000003 | 56/127 | after_week_1] 2020-08 as of 2020-08-07
[CES0500000003 | 56/127 | after_week_2] 2020-08 as of 2020-08-14
[CES0500000003 | 56/127 | month_end] 2020-08 as of 2020-08-31
[CES0500000003 | 56/127 | pre_employment_report] 2020-08 as of 2020-09-03
[CES0500000003 | 57/127 | month_open] 2020-09 as of 2020-09-01
[CES0500000003 | 57/127 | after_week_1] 2020-09 as of 2020-09-07
[CES0500000003 | 57/127 | after_week_2] 2020-09 as of 2020-09-14
[CES0500000003 | 57/127 | month_end] 2020-09 as of 2020-09-30
[CES0500000003 | 57/127 | pre_employment_report] 2020-09 as of 2020-10-01
[CES0500000003 | 58/127 | month_open] 2020-10 as of 2020-10-01
[CES0500000003 | 58/127 | after_week_1] 2020-10 as of 2020-10-07
[CES0500000003 | 58/127 | after_week_2] 2020-10 as of 2020-10-14
[CES0500000003 | 58/127 | month_end] 2020-10 as of 2020-10-31
[CES0500000003 | 58/127 | pre_employment_report] 2020-10 as of 2020-11-05
[CES0500000003 | 59/127 | month_open] 2020-11 as of 2020-11-01
[CES0500000003 | 59/127 | after_week_1] 2020-11 as of 2020-11-07
[CES0500000003 | 59/127 | after_week_2] 2020-11 as of 2020-11-14
[CES0500000003 | 59/127 | month_end] 2020-11 as of 2020-11-30
[CES0500000003 | 59/127 | pre_employment_report] 2020-11 as of 2020-12-03
[CES0500000003 | 60/127 | month_open] 2020-12 as of 2020-12-01
[CES0500000003 | 60/127 | after_week_1] 2020-12 as of 2020-12-07
[CES0500000003 | 60/127 | after_week_2] 2020-12 as of 2020-12-14
[CES0500000003 | 60/127 | month_end] 2020-12 as of 2020-12-31
[CES0500000003 | 60/127 | pre_employment_report] 2020-12 as of 2021-01-07
[CES0500000003 | 61/127 | month_open] 2021-01 as of 2021-01-01
[CES0500000003 | 61/127 | after_week_1] 2021-01 as of 2021-01-07
[CES0500000003 | 61/127 | after_week_2] 2021-01 as of 2021-01-14
[CES0500000003 | 61/127 | month_end] 2021-01 as of 2021-01-31
[CES0500000003 | 61/127 | pre_employment_report] 2021-01 as of 2021-02-04
[CES0500000003 | 62/127 | month_open] 2021-02 as of 2021-02-01
[CES0500000003 | 62/127 | after_week_1] 2021-02 as of 2021-02-07
[CES0500000003 | 62/127 | after_week_2] 2021-02 as of 2021-02-14
[CES0500000003 | 62/127 | month_end] 2021-02 as of 2021-02-28
[CES0500000003 | 62/127 | pre_employment_report] 2021-02 as of 2021-03-04
[CES0500000003 | 63/127 | month_open] 2021-03 as of 2021-03-01
[CES0500000003 | 63/127 | after_week_1] 2021-03 as of 2021-03-07
[CES0500000003 | 63/127 | after_week_2] 2021-03 as of 2021-03-14
[CES0500000003 | 63/127 | month_end] 2021-03 as of 2021-03-31
[CES0500000003 | 63/127 | pre_employment_report] 2021-03 as of 2021-04-01
[CES0500000003 | 64/127 | month_open] 2021-04 as of 2021-04-01
[CES0500000003 | 64/127 | after_week_1] 2021-04 as of 2021-04-07
[CES0500000003 | 64/127 | after_week_2] 2021-04 as of 2021-04-14
[CES0500000003 | 64/127 | month_end] 2021-04 as of 2021-04-30
[CES0500000003 | 64/127 | pre_employment_report] 2021-04 as of 2021-05-06
